content,rating,sentiment,original_content,segment_content,_class
聽到 一半 直接 暫停 關掉 是 怎樣 我 什麼 都 沒 按 直接 關 一 首 歌 都 還 沒 聽完 就 一直 要 重開 可以 改善 一下 嗎,2,-0.4,聽到一半直接暫停關掉是怎樣我什麼都沒按直接關一首歌都還沒聽完就一直要重開可以改善一下嗎,"[['聽到', '一半', '直接', '暫停', '關掉', '是', '怎樣', '我', '什麼', '都', '沒', '按', '直接', '關', '一', '首', '歌', '都', '還', '沒', '聽完', '就', '一直', '要', '重開', '可以', '改善', '一下', '嗎']]",4
方便 好用 但 有 些 歌 找 不 到,3,0.3,方便好用但有些歌找不到,"[['方便', '好用', '但', '有', '些', '歌', '找', '不', '到']]",0
很 好用,5,0.4,很好用,"[['很', '好用']]",0
不能夠 用 嗎 我 無法 註冊,3,-0.5,不能夠用嗎我無法註冊,"[['不能夠', '用', '嗎', '我', '無法', '註冊']]",0
好用,5,0.4,好用,[['好用']],0
最近 唔 知 點解成 日 聽聽 下 歌 佢 自己 左 個 唔 知 係 手機 問題 定 問題 已經 重新 過 同 開機 但 一樣 係 咁 用 緊,3,-0.2,最近唔知點解成日聽聽下歌佢自己左個唔知係手機問題定問題已經重新過同開機但一樣係咁用緊,"[['最近', '唔', '知', '點解成', '日', '聽聽', '下', '歌', '佢', '自己', '左', '個', '唔', '知', '係', '手機', '問題', '定', '問題', '已經', '重新', '過', '同', '開機', '但', '一樣', '係', '咁', '用', '緊']]",0
雜音 變 得 超級 超級 多 播 到 一半 突然 重新 兩 聲道 一起 播 音樂 然後 雜音 超大聲 要不是 今年 八月 才 到期 早 就 換,3,0,雜音變得超級超級多播到一半突然重新兩聲道一起播音樂然後雜音超大聲要不是今年八月纔到期早就換,"[['雜音', '變', '得', '超級', '超級', '多', '播', '到', '一半', '突然', '重新', '兩', '聲道', '一起', '播', '音樂', '然後', '雜音', '超大聲', '要不是', '今年', '八月', '纔', '到期', '早', '就', '換']]",0
沒有 我 想要 聽 的 歌 希望 每 首 歌 都 有,3,-0.3,沒有我想要聽的歌希望每首歌都有,"[['沒有', '我', '想要', '聽', '的', '歌', '希望', '每', '首', '歌', '都', '有']]",0
幹 是 不 給 登 你 納操,2,-0.6,幹是不給登你納操,"[['幹', '是', '不', '給', '登', '你', '納操']]",3
爲什麼沒 有 極高音質 只有,3,0,爲什麼沒有極高音質只有,"[['爲', '什麼', '沒有', '極', '高', '音質', '只有']]",0
好用,5,0.4,好用,[['好用']],0
完全 打 不 開 啊 不 知道 為什麼,1,-0.3,完全打不開啊不知道為什麼,"[['完全', '打', '不', '開', '啊', '不', '知道', '為什麼']]",4
最近 狂閃 退聽 音樂 聽到 一半 就 跳掉 了,3,-0.5,最近狂閃退聽音樂聽到一半就跳掉了,"[['最近', '狂閃', '退聽', '音樂', '聽到', '一半', '就', '跳掉', '了']]",0
很 上心 的 聽,3,0,很上心的聽,"[['很', '上心', '的', '聽']]",0
歌詞 餘入,5,0,歌詞餘入,"[['歌詞', '餘入']]",0
音質 不錯 視頻 關掉 還是 繼續 聽 就 不行 了,5,-0.2,音質不錯視頻關掉還是繼續聽就不行了,"[['音質', '不錯', '視頻', '關掉', '還是', '繼續', '聽', '就', '不行', '了']]",0
可以 不 付費 聽 歌 嗎,5,-0.1,可以不付費聽歌嗎,"[['可以', '不', '付費', '聽', '歌', '嗎']]",0
相信 你 會 喜歡上 的 更 有趣 的 是 也 能 去 網址 有 滿 無限 鑽石版 資源 通通 無限 還 有 上百 個 爆款 遊戲 無限版 遊戲 建議 設置 一 鍵 索取 傳送 愛心 建議 在 新增 商店 的 地方 顯示 已 設立 的 商店 像是 可以 在 每 個 商店 選項 左下 顯示 已 設立 間 之類 的 不然 每 次 新增 商店 都 要 思考 什麼 商店 建 過 了 就 怕 新增 到 一樣 的 終於 快 放假 了 這樣 就 有空 競選 玩 啦 隔 一 段 時間 開發 現 系統 被 優化 的 更 好 了 也 出 了 很多 不同 種類 的 小 遊戲 可以 玩 但 主要 還是 麻將 最 讓 人 開心 麻將 就 是 經典 中 的 經典 啊 希望 官方 一直 這樣 繼續 維持 下去 這樣 我 也 會 很 願意 課金 的 非常 好玩 的 手機 策略 遊戲 要 思考 有限 的 資源 分配 不時 要 圍剿 叛軍 也 要 顧及 人民 的 需求 讓 平常 只 能 透過 新聞 或 網路 資訊 稍微 了 解 中東 複雜 局勢 的 人 透過 遊戲 能 更 理解 當權者 決策 的 困難 獲得 人民 支持 的 重要性 喜歡 策略 遊戲 的 人 一定 要 嘗試 看看 反叛 公司 不會 太 可怕 啦 不要 不 敢 玩 慢慢 就 直接 掌握 玩法 不 怕 了 真的 可怕 的 是 白色恐怖 喔 遊戲 美編 跟 路線 設計 都 很 精美 細緻 玩 得 很 順利 我 很 喜歡 的 地方 也 包含 劇情 故事 很 抽象 的 表現 手法 不過 你 一定 可以 體會 其中 的 美麗 與 哀傷,5,0.4117647059,相信你會喜歡上的更有趣的是也能去網址有滿無限鑽石版資源通通無限還有上百個爆款遊戲無限版遊戲建議設置一鍵索取傳送愛心建議在新增商店的地方顯示已設立的商店像是可以在每個商店選項左下顯示已設立間之類的不然每次新增商店都要思考什麼商店建過了就怕新增到一樣的終於快放假了這樣就有空競選玩啦隔一段時間開發現系統被優化的更好了也出了很多不同種類的小遊戲可以玩但主要還是麻將最讓人開心麻將就是經典中的經典啊希望官方一直這樣繼續維持下去這樣我也會很願意課金的非常好玩的手機策略遊戲要思考有限的資源分配不時要圍剿叛軍也要顧及人民的需求讓平常只能透過新聞或網路資訊稍微瞭解中東複雜局勢的人透過遊戲能更理解當權者決策的困難獲得人民支持的重要性喜歡策略遊戲的人一定要嘗試看看反叛公司不會太可怕啦不要不敢玩慢慢就直接掌握玩法不怕了真的可怕的是白色恐怖喔遊戲美編跟路線設計都很精美細緻玩得很順利我很喜歡的地方也包含劇情故事很抽象的表現手法不過你一定可以體會其中的美麗與哀傷,"[['相信', '你', '會', '喜歡上', '的', '更', '有趣', '的', '是', '也', '能', '去', '網址', '有', '滿', '無限', '鑽石版', '資源', '通通', '無限', '還', '有', '上百', '個', '爆款', '遊戲', '無限版', '遊戲', '建議', '設置', '一', '鍵', '索取', '傳送', '愛心', '建議', '在', '新增', '商店', '的', '地方', '顯示', '已', '設立', '的', '商店', '像是', '可以', '在', '每', '個', '商店', '選項', '左下', '顯示', '已', '設立', '間', '之類', '的', '不然', '每', '次', '新增', '商店', '都', '要', '思考', '什麼', '商店', '建', '過', '了', '就', '怕', '新增', '到', '一樣', '的', '終於', '快', '放假', '了', '這樣', '就', '有空', '競選', '玩', '啦', '隔', '一', '段', '時間', '開發', '現', '系統', '被', '優化', '的', '更', '好', '了', '也', '出', '了', '很多', '不同', '種類', '的', '小', '遊戲', '可以', '玩', '但', '主要', '還是', '麻將', '最', '讓', '人', '開心', '麻將', '就', '是', '經典', '中', '的', '經典', '啊', '希望', '官方', '一直', '這樣', '繼續', '維持', '下去', '這樣', '我', '也', '會', '很', '願意', '課金', '的', '非常', '好玩', '的', '手機', '策略', '遊戲', '要', '思考', '有限', '的', '資源', '分配', '不時', '要', '圍剿', '叛軍', '也', '要', '顧及', '人民', '的', '需求', '讓', '平常', '只', '能', '透過', '新聞', '或', '網路', '資訊', '稍微', '瞭解', '中東', '複雜', '局勢', '的', '人', '透過', '遊戲', '能', '更', '理解', '當權者', '決策', '的', '困難', '獲得', '人民', '支持', '的', '重要性', '喜歡', '策略', '遊戲', '的', '人', '一定', '要', '嘗試', '看看', '反叛', '公司', '不會', '太', '可怕', '啦', '不要', '不', '敢', '玩', '慢慢', '就', '直接', '掌握', '玩法', '不', '怕', '了', '真的', '可怕', '的', '是', '白色恐怖', '喔', '遊戲', '美編', '跟', '路線', '設計', '都', '很', '精美', '細緻', '玩', '得', '很', '順利', '我', '很', '喜歡', '的', '地方', '也', '包含', '劇情', '故事', '很', '抽象', '的', '表現', '手法', '不過', '你', '一定', '可以', '體會', '其中', '的', '美麗', '與', '哀傷']]",0
有些 歌曲 沒有,4,-0.3,有些歌曲沒有,"[['有些', '歌曲', '沒有']]",0
還 不錯,5,0.3,還不錯,"[['還', '不錯']]",0
效果 與 音質 皆 不錯,5,0.3,效果與音質皆不錯,"[['效果', '與', '音質', '皆', '不錯']]",0
會 有 卡頓 的 現象 希望 能 改善 而且 也 希望 在 系統 能 有 暗色 主題 機型,3,-0.4,會有卡頓的現象希望能改善而且也希望在系統能有暗色主題機型,"[['會', '有', '卡頓', '的', '現象', '希望', '能', '改善', '而且', '也', '希望', '在', '系統', '能', '有', '暗色', '主題', '機型']]",0
買 了 天 送 天 的 套餐天 卻 不見,2,-0.5,買了天送天的套餐天卻不見,"[['買', '了', '天', '送', '天', '的', '套餐天', '卻', '不見']]",4
蠻 好用 的 但是 有時候 看完 廣告 後 沒有 送 我 首 音樂 直接 變首 叫 我 付費 謝謝,5,-0.075,蠻好用的但是有時候看完廣告後沒有送我首音樂直接變首叫我付費謝謝,"[['蠻', '好用', '的', '但是', '有時候', '看完', '廣告', '後', '沒有', '送', '我', '首', '音樂', '直接', '變首', '叫', '我', '付費', '謝謝']]",0
可惜 無法 單純 背景 播放 不然 一切 都 很 完美,5,0.2,可惜無法單純背景播放不然一切都很完美,"[['可惜', '無法', '單純', '背景', '播放', '不然', '一切', '都', '很', '完美']]",0
音質 很 棒,5,0.5,音質很棒,"[['音質', '很', '棒']]",0
容易 上手 方便 找 歌,4,0.45,容易上手方便找歌,"[['容易', '上手', '方便', '找', '歌']]",0
都 什麼 年代 了 這樣 不 是 明擺着幫 打廣告嗎,1,0,都什麼年代了這樣不是明擺着幫打廣告嗎,"[['都', '什麼', '年代', '了', '這樣', '不', '是', '明擺着', '幫', '打廣告', '嗎']]",4
用 十幾 年 了,5,0,用十幾年了,"[['用', '十幾', '年', '了']]",0
一直 閃退 自動 切掉 歌,4,-0.7,一直閃退自動切掉歌,"[['一直', '閃退', '自動', '切掉', '歌']]",0
如果 我 寧可,5,-0.1,如果我寧可,"[['如果', '我', '寧可']]",0
為什麼 每隔 一 段 時間 的 離線 歌曲 就 會 全部 不見 還要 重新 下載,2,-0.4,為什麼每隔一段時間的離線歌曲就會全部不見還要重新下載,"[['為什麼', '每隔', '一', '段', '時間', '的', '離線', '歌曲', '就', '會', '全部', '不見', '還要', '重新', '下載']]",4
毫無 進取 之 心,1,0,毫無進取之心,"[['毫無', '進取', '之', '心']]",4
悪質,1,0,悪質,[['悪質']],4
超讚 什 麼歌 都 有 而且 還 不用,5,0,超讚什麼歌都有而且還不用,"[['超讚', '什麼', '歌', '都', '有', '而且', '還', '不用']]",0
很 划算 很 好用,5,0.35,很划算很好用,"[['很', '划算', '很', '好用']]",0
最近 已 發生 過 好多 次 邊 聽 音樂 邊 玩 遊戲 結果 音樂 自動 斷掉 不 知道 是 兩 個 不 相容 還是 程式 的 問題 這 對 我 有點 困擾 直接 按鍵 到 重新 播放 音樂 後 再 跳回 遊戲 我 的 遊戲 就 會 重新 啟動 明明 之前 就算 玩 到 一半 跳出 再 回來 也 都 不會 這樣 希望 可以 改善 這 個 問題 手機 型號 是 三星,3,-0.42,最近已發生過好多次邊聽音樂邊玩遊戲結果音樂自動斷掉不知道是兩個不相容還是程式的問題這對我有點困擾直接按鍵到重新播放音樂後再跳回遊戲我的遊戲就會重新啟動明明之前就算玩到一半跳出再回來也都不會這樣希望可以改善這個問題手機型號是三星,"[['最近', '已', '發生', '過', '好多', '次', '邊', '聽', '音樂', '邊', '玩', '遊戲', '結果', '音樂', '自動', '斷掉', '不', '知道', '是', '兩', '個', '不', '相容', '還是', '程式', '的', '問題', '這', '對', '我', '有點', '困擾', '直接', '按鍵', '到', '重新', '播放', '音樂', '後', '再', '跳回', '遊戲', '我', '的', '遊戲', '就', '會', '重新', '啟動', '明明', '之前', '就算', '玩', '到', '一半', '跳出', '再', '回來', '也', '都', '不會', '這樣', '希望', '可以', '改善', '這', '個', '問題', '手機', '型號', '是', '三星']]",0
更新 快 超級 好用,5,0.4,更新快超級好用,"[['更新', '快', '超級', '好用']]",0
建議 新增 可以 把 音樂 分享到 的 限動 不要 只有 限動,5,0,建議新增可以把音樂分享到的限動不要只有限動,"[['建議', '新增', '可以', '把', '音樂', '分享到', '的', '限動', '不要', '只有', '限動']]",0
我 是 用 系統 的 為什麼 好像 沒有 鎖屏 顯示 歌詞 呀,3,-0.3,我是用系統的為什麼好像沒有鎖屏顯示歌詞呀,"[['我', '是', '用', '系統', '的', '為什麼', '好像', '沒有', '鎖屏', '顯示', '歌詞', '呀']]",0
找到 沒有 的 舊 歌 及 可 下載 高音質 音樂,4,-0.3,找到沒有的舊歌及可下載高音質音樂,"[['找到', '沒有', '的', '舊', '歌', '及', '可', '下載', '高音質', '音樂']]",0
未來 有 可能 推出 無損 音質 的 版 嗎,4,0,未來有可能推出無損音質的版嗎,"[['未來', '有', '可能', '推出', '無損', '音質', '的', '版', '嗎']]",0
我 已經 付費 但是 我 現在 常 在 越南 系統 告知 我 不能 在 越南 使用 請問 我 如何 取消 每 月 扣費,1,-0.2666666667,我已經付費但是我現在常在越南系統告知我不能在越南使用請問我如何取消每月扣費,"[['我', '已經', '付費', '但是', '我', '現在', '常', '在', '越南', '系統', '告知', '我', '不能', '在', '越南', '使用', '請問', '我', '如何', '取消', '每', '月', '扣費']]",4
還是 一慣 好用,5,0.4,還是一慣好用,"[['還是', '一慣', '好用']]",0
爛 一 大 堆 我 想 聽 的 動漫歌 都 找 不 到,1,-0.3,爛一大堆我想聽的動漫歌都找不到,"[['爛', '一', '大', '堆', '我', '想', '聽', '的', '動漫歌', '都', '找', '不', '到']]",4
現在 是否 還 沒 針對 的 新 功能 更新 感覺 使用 上 有 些 之前 未 見 的 問題 我 確定 雷達感應 是 正常 的,5,-0.2,現在是否還沒針對的新功能更新感覺使用上有些之前未見的問題我確定雷達感應是正常的,"[['現在', '是否', '還', '沒', '針對', '的', '新', '功能', '更新', '感覺', '使用', '上', '有', '些', '之前', '未', '見', '的', '問題', '我', '確定', '雷達感應', '是', '正常', '的']]",0
好,5,0.3,好,[['好']],0
好用 歌曲 多 希望 大陸 歌曲 能 在 多一點,5,0.4,好用歌曲多希望大陸歌曲能在多一點,"[['好用', '歌曲', '多', '希望', '大陸', '歌曲', '能', '在', '多一點']]",0
最近 會 閃退 聽到 一半,1,-0.7,最近會閃退聽到一半,"[['最近', '會', '閃退', '聽到', '一半']]",1
很 好用,5,0.4,很好用,"[['很', '好用']]",0
超好 的 但是 如果 你 一直 離線 聽 他 會 叫 你 上線聽,5,0.25,超好的但是如果你一直離線聽他會叫你上線聽,"[['超好', '的', '但是', '如果', '你', '一直', '離線', '聽', '他', '會', '叫', '你', '上線', '聽']]",0
我 用到 目前 為止 音質 和 服務 最 好 的,5,0.3,我用到目前為止音質和服務最好的,"[['我', '用到', '目前', '為止', '音質', '和', '服務', '最', '好', '的']]",0
我 是 你們 的 用戶 為什麼 馬來西亞 地區 沒有 呢 等 了 超久 想 用 一 個 正版 頻道 看 日劇 也 沒有 希望 你們 很 快 可以 提供 服務,4,-0.3,我是你們的用戶為什麼馬來西亞地區沒有呢等了超久想用一個正版頻道看日劇也沒有希望你們很快可以提供服務,"[['我', '是', '你們', '的', '用戶', '為什麼', '馬來西亞', '地區', '沒有', '呢', '等', '了', '超久', '想', '用', '一', '個', '正版', '頻道', '看', '日劇', '也', '沒有', '希望', '你們', '很', '快', '可以', '提供', '服務']]",0
下載 到 第 首 開始 不能夠 在 下載 歌曲 到 離線 清單 當 我 想 試試 完全 清除 離線 歌單 再 看 能否 下載 卻 不 停彈 希望 能夠 解答,3,0,下載到第首開始不能夠在下載歌曲到離線清單當我想試試完全清除離線歌單再看能否下載卻不停彈希望能夠解答,"[['下載', '到', '第', '首', '開始', '不能夠', '在', '下載', '歌曲', '到', '離線', '清單', '當', '我', '想', '試試', '完全', '清除', '離線', '歌單', '再', '看', '能否', '下載', '卻', '不', '停彈', '希望', '能夠', '解答']]",0
沒有 別的 裝置 同時 使用 歌曲 自己 不 見 從 原本 的 上限 首 再 注意到 的 時候 只 剩 多 首 不管 是 邊 聽 邊 載 還是 選擇 下載 剛 下載 過 的 歌曲 一 不 注意 又 變成 沒有 下載 的 狀態 想說 一直 下載 怎麼 數字 就 卡在 以前 都 沒 這 種 問題 專輯 歌手 建議 幾 年 了 似乎 沒有 要 買 版權 的 意思 也 不 冷門 不 懂 是 不 是 官方 一直 看 不 到 用戶 這邊 的 反饋,1,-0.25,沒有別的裝置同時使用歌曲自己不見從原本的上限首再注意到的時候只剩多首不管是邊聽邊載還是選擇下載剛下載過的歌曲一不注意又變成沒有下載的狀態想說一直下載怎麼數字就卡在以前都沒這種問題專輯歌手建議幾年了似乎沒有要買版權的意思也不冷門不懂是不是官方一直看不到用戶這邊的反饋,"[['沒有', '別的', '裝置', '同時', '使用', '歌曲', '自己', '不', '見', '從', '原本', '的', '上限', '首', '再', '注意到', '的', '時候', '只', '剩', '多', '首', '不管', '是', '邊', '聽', '邊', '載', '還是', '選擇', '下載', '剛', '下載', '過', '的', '歌曲', '一', '不', '注意', '又', '變成', '沒有', '下載', '的', '狀態', '想說', '一直', '下載', '怎麼', '數字', '就', '卡在', '以前', '都', '沒', '這', '種', '問題', '專輯', '歌手', '建議', '幾', '年', '了', '似乎', '沒有', '要', '買', '版權', '的', '意思', '也', '不', '冷門', '不', '懂', '是', '不', '是', '官方', '一直', '看', '不', '到', '用戶', '這邊', '的', '反饋']]",4
很 棒,5,0.5,很棒,"[['很', '棒']]",0
歌曲 豐富 分類 詳細 常常 被 推薦 的 歌曲 最終 都 成為 我 的 常 聽 曲目,5,0.5666666667,歌曲豐富分類詳細常常被推薦的歌曲最終都成為我的常聽曲目,"[['歌曲', '豐富', '分類', '詳細', '常常', '被', '推薦', '的', '歌曲', '最終', '都', '成為', '我', '的', '常', '聽', '曲目']]",0
為什麼 電腦版 的 歌單 的 歌曲 都 不見了 已 排除 但 還是 覺得 很 怪 另外 想 請問 為什麼 石康軍 的 歌 很少,5,-0.3666666667,為什麼電腦版的歌單的歌曲都不見了已排除但還是覺得很怪另外想請問為什麼石康軍的歌很少,"[['為什麼', '電腦版', '的', '歌單', '的', '歌曲', '都', '不見了', '已', '排除', '但', '還是', '覺得', '很', '怪', '另外', '想', '請問', '為什麼', '石康軍', '的', '歌', '很少']]",0
方便 好用,5,0.3,方便好用,"[['方便', '好用']]",0
我 是 在 無意 之間 看到 的 這 款 遊戲 當時 還 不 知道 遊戲 是 這樣 的 不 想 氪金 的 朋友們 就 到去 異 世界 手遊網 登入 遊戲 就 滿 無限 元寶 上線 就 送 頂級 裝備 遊戲 道具 全部 無限 使用 完全 的 不用 氪金 的 你們 不 想 試試 嗎 好 三 國 很 好很 的 三 國 很 適合 有點 時間 的 人 來 玩 三 國 內容 也 很 不錯 真 好玩 這 三 國 真 好玩 大家 一起 來 玩 吧 無意間 發現 朋友 玩 這 款 卡牌手 遊,5,0.5,我是在無意之間看到的這款遊戲當時還不知道遊戲是這樣的不想氪金的朋友們就到去異世界手遊網登入遊戲就滿無限元寶上線就送頂級裝備遊戲道具全部無限使用完全的不用氪金的你們不想試試嗎好三國很好很的三國很適合有點時間的人來玩三國內容也很不錯真好玩這三國真好玩大家一起來玩吧無意間發現朋友玩這款卡牌手遊,"[['我', '是', '在', '無意', '之間', '看到', '的', '這', '款', '遊戲', '當時', '還', '不', '知道', '遊戲', '是', '這樣', '的', '不', '想', '氪金', '的', '朋友們', '就', '到去', '異', '世界', '手遊網', '登入', '遊戲', '就', '滿', '無限', '元寶', '上線', '就', '送', '頂級', '裝備', '遊戲', '道具', '全部', '無限', '使用', '完全', '的', '不用', '氪金', '的', '你們', '不', '想', '試試', '嗎', '好', '三', '國', '很', '好很', '的', '三', '國', '很', '適合', '有點', '時間', '的', '人', '來', '玩', '三', '國', '內容', '也', '很', '不錯', '真', '好玩', '這', '三', '國', '真', '好玩', '大家', '一起', '來', '玩', '吧', '無意間', '發現', '朋友', '玩', '這', '款', '卡牌', '手遊']]",0
真的 不錯 用,5,0.3,真的不錯用,"[['真的', '不錯', '用']]",0
你 聽 某 啲 音樂 平臺 更 順暢,4,0.3,你聽某啲音樂平臺更順暢,"[['你', '聽', '某', '啲', '音樂', '平臺', '更', '順暢']]",0
我 愛,5,0,我愛,"[['我', '愛']]",0
在 上 發生 了 通知欄 不管 在 黑色 主題 或是 白色 主題 通知 變成 整個 白色 或是 黑色,3,0,在上發生了通知欄不管在黑色主題或是白色主題通知變成整個白色或是黑色,"[['在', '上', '發生', '了', '通知欄', '不管', '在', '黑色', '主題', '或是', '白色', '主題', '通知', '變成', '整個', '白色', '或是', '黑色']]",0
限制 實在 太多 逼人 付款 的 軟件 好在 我 找到 載 歌 神器 不用 你 這 個 軟件 體驗完 就 一直 叫 人 付款 離線 播放 完全 無效 逼 你 上線 聽 現在 你 這 個 軟件 在 我 眼 中 亳 無 用處 因為 我 有 了 無限 下載,1,-0.03333333333,限制實在太多逼人付款的軟件好在我找到載歌神器不用你這個軟件體驗完就一直叫人付款離線播放完全無效逼你上線聽現在你這個軟件在我眼中亳無用處因為我有了無限下載,"[['限制', '實在', '太多', '逼人', '付款', '的', '軟件', '好在', '我', '找到', '載', '歌', '神器', '不用', '你', '這', '個', '軟件', '體驗完', '就', '一直', '叫', '人', '付款', '離線', '播放', '完全', '無效', '逼', '你', '上線', '聽', '現在', '你', '這', '個', '軟件', '在', '我', '眼', '中', '亳', '無', '用處', '因為', '我', '有', '了', '無限', '下載']]",2
最近 播放 的 歌曲 一 暫停 一下子 之後 要 再 播放 的 時後 有 發現 歌曲 會 重複 聽 可以 改善 一下 嗎,4,-0.35,最近播放的歌曲一暫停一下子之後要再播放的時後有發現歌曲會重複聽可以改善一下嗎,"[['最近', '播放', '的', '歌曲', '一', '暫停', '一下子', '之後', '要', '再', '播放', '的', '時後', '有', '發現', '歌曲', '會', '重複', '聽', '可以', '改善', '一下', '嗎']]",0
歌曲 種類 繁多,5,0,歌曲種類繁多,"[['歌曲', '種類', '繁多']]",0
希望 能 推 封鎖 歌曲 功能 不然 有 些 歌 實在 難 聽到 靠 北,3,0.5,希望能推封鎖歌曲功能不然有些歌實在難聽到靠北,"[['希望', '能', '推', '封鎖', '歌曲', '功能', '不然', '有', '些', '歌', '實在', '難', '聽到', '靠', '北']]",0
邊 音樂 邊 玩 遊戲 時 上方 狀態列 不會 隱藏 害 我 一些 按鍵 按不了,3,0,邊音樂邊玩遊戲時上方狀態列不會隱藏害我一些按鍵按不了,"[['邊', '音樂', '邊', '玩', '遊戲', '時', '上方', '狀態列', '不會', '隱藏', '害', '我', '一些', '按鍵', '按不了']]",0
沒 廣告 吵,4,-0.3,沒廣告吵,"[['沒', '廣告', '吵']]",0
方便 好用,5,0.3,方便好用,"[['方便', '好用']]",0
相信 你 會 喜歡上 的 更 有趣 的 是 也 能 去 網址 有 滿 無限 鑽石版 資源 通通 無限 還 有 上百 個 爆款 遊戲 無限版 遊戲 還 在 觀察 需不需要 課金 整體 製作 的 非常 完全 故事 也 有 完整性 不會 不 知道 內容 到底 在 做 什麼 刷怪 的 打擊感 也 很 流暢 東西 不會 很 難 爆 可惜 的 是 職業 比較 少一點 前期 來 說 真的 就 是 爽 玩鑽 也 莫名 玩 到 身 上 很多 再 來 就是 看 後期 的 角色 需求 才 會 知道 這 遊戲 會不會 需要 大課 了 以 休閒 玩家 小玩 來 說 的話 我 覺得 我 還 滿 推薦 的 雖然 第一 次 玩 這 種 暗黑 題材 的 遊戲 但 這 個 劇情 我 很 喜歡 操作 的 地方 也 很 流暢 感覺 滿耐 玩 的 不過 我 跟 你們 說 你們 不用 刻意 去 找 地圖 裡面 的 那 個 寶箱 找 了 老半天 開出來 的 都 拉 還不如 快速 把 劇情 任務 過完 還 有 就是 這 遊戲 的 系統 跟 功能 很多,5,0.2777777778,相信你會喜歡上的更有趣的是也能去網址有滿無限鑽石版資源通通無限還有上百個爆款遊戲無限版遊戲還在觀察需不需要課金整體製作的非常完全故事也有完整性不會不知道內容到底在做什麼刷怪的打擊感也很流暢東西不會很難爆可惜的是職業比較少一點前期來說真的就是爽玩鑽也莫名玩到身上很多再來就是看後期的角色需求才會知道這遊戲會不會需要大課了以休閒玩家小玩來說的話我覺得我還滿推薦的雖然第一次玩這種暗黑題材的遊戲但這個劇情我很喜歡操作的地方也很流暢感覺滿耐玩的不過我跟你們說你們不用刻意去找地圖裡面的那個寶箱找了老半天開出來的都拉還不如快速把劇情任務過完還有就是這遊戲的系統跟功能很多,"[['相信', '你', '會', '喜歡上', '的', '更', '有趣', '的', '是', '也', '能', '去', '網址', '有', '滿', '無限', '鑽石版', '資源', '通通', '無限', '還', '有', '上百', '個', '爆款', '遊戲', '無限版', '遊戲', '還', '在', '觀察', '需不需要', '課金', '整體', '製作', '的', '非常', '完全', '故事', '也', '有', '完整性', '不會', '不', '知道', '內容', '到底', '在', '做', '什麼', '刷怪', '的', '打擊感', '也', '很', '流暢', '東西', '不會', '很', '難', '爆', '可惜', '的', '是', '職業', '比較', '少一點', '前期', '來', '說', '真的', '就', '是', '爽', '玩鑽', '也', '莫名', '玩', '到', '身', '上', '很多', '再', '來', '就是', '看', '後期', '的', '角色', '需求', '才', '會', '知道', '這', '遊戲', '會不會', '需要', '大課', '了', '以', '休閒', '玩家', '小玩', '來', '說', '的話', '我', '覺得', '我', '還', '滿', '推薦', '的', '雖然', '第一', '次', '玩', '這', '種', '暗黑', '題材', '的', '遊戲', '但', '這', '個', '劇情', '我', '很', '喜歡', '操作', '的', '地方', '也', '很', '流暢', '感覺', '滿耐', '玩', '的', '不過', '我', '跟', '你們', '說', '你們', '不用', '刻意', '去', '找', '地圖', '裡面', '的', '那', '個', '寶箱', '找', '了', '老半天', '開出來', '的', '都', '拉', '還不如', '快速', '把', '劇情', '任務', '過完', '還', '有', '就是', '這', '遊戲', '的', '系統', '跟', '功能', '很多']]",0
基本 要 找 的 歌 都 找 得 到 挺 不錯,5,0.3,基本要找的歌都找得到挺不錯,"[['基本', '要', '找', '的', '歌', '都', '找', '得', '到', '挺', '不錯']]",0
好用,5,0.4,好用,[['好用']],0
很多 抖音 包括 顏人 中 隔壁 老樊 的 歌 都 無法聽 到 說 是 所在地 區沒 有 版權 就算 是 白金會員 也 有 不 公平 的 地區 限制,2,0.1,很多抖音包括顏人中隔壁老樊的歌都無法聽到說是所在地區沒有版權就算是白金會員也有不公平的地區限制,"[['很多', '抖音', '包括', '顏人', '中', '隔壁', '老樊', '的', '歌', '都', '無法', '聽到', '說', '是', '所在', '地區', '沒有', '版權', '就算', '是', '白金', '會員', '也', '有', '不', '公平', '的', '地區', '限制']]",4
和 真的 超棒 體驗 天後 一 天 沒有 音樂 就 超級 受不了 馬上 手刀 殺去 儲值 了 九十 天 期望 你們 的 服務 可以 精益求精 多多 給 我們 愛 用 者 一些 活動 或 優惠 真的 是 超棒 的,5,0.2,和真的超棒體驗天後一天沒有音樂就超級受不了馬上手刀殺去儲值了九十天期望你們的服務可以精益求精多多給我們愛用者一些活動或優惠真的是超棒的,"[['和', '真的', '超棒', '體驗', '天後', '一', '天', '沒有', '音樂', '就', '超級', '受不了', '馬上', '手刀', '殺去', '儲值', '了', '九十', '天', '期望', '你們', '的', '服務', '可以', '精益求精', '多多', '給', '我們', '愛', '用', '者', '一些', '活動', '或', '優惠', '真的', '是', '超棒', '的']]",0
棒棒 的,5,0,棒棒的,"[['棒棒', '的']]",0
音質 非常 好,5,0.3,音質非常好,"[['音質', '非常', '好']]",0
頼曲勝手 流 何広告,3,0,頼曲勝手流何広告,"[['頼曲勝手', '流', '何広告']]",0
又 系 要 比,1,0,又系要比,"[['又', '系', '要', '比']]",4
